Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
TENB,"Tenable Holdings, Inc.",3.4328358208955154,1915902,0.5260668472958506,3056739206.991044,USD,,-0.0972,USD,74.14893617021276,0,Technology services,Buy,27.72,USD
COHU,"Cohu, Inc.",4.43502364258927,1273353,0.7266543681363252,3021581025.990543,USD,,-1.1864,USD,35.48667754214247,0,Electronic technology,Strong buy,64.05,USD
OUST,"Ouster, Inc.",13.5175879396985,4633777,1.0976098029183945,2876743859.4316587,USD,,-0.9742,USD,50.41734527687297,0,Electronic technology,Buy,45.18,USD
ELVN,"Enliven Therapeutics, Inc.",-8.172555820507268,2790718,1.3552899212429483,2579933545.6362453,USD,,-1.6638,USD,13.788279185450023,0,Health technology,Strong buy,42.36,USD
TE,T1 Energy Inc.,4.941176470588235,31049018,0.8008695474309421,2491100552.1882358,USD,,-2.0321,USD,34.17233560090704,0,Producer manufacturing,Strong buy,8.92,USD
POET,POET Technologies Inc.,11.173184357541903,44767948,1.162397491127446,2404254054.296089,USD,,-0.7242,USD,-11.175928768805646,0,Producer manufacturing,No rating,13.93,USD
VOYG,"Voyager Technologies, Inc.",-2.041312272174961,2807683,0.9774505115031551,2388857274.8264885,USD,,-2.1503,USD,-20.898459462498604,0,Technology services,Buy,40.31,USD
AMPX,"Amprius Technologies, Inc.",3.126916002452493,5026360,0.6691574154225504,2382168866.6756597,USD,,-0.3046,USD,25.87004137259674,0,Producer manufacturing,Strong buy,16.82,USD
WOLF,"Wolfspeed, Inc.",13.792304126101074,8279666,1.037882405837251,2372965443.799954,USD,,-17.2532,USD,-106.57319715999569,0,Electronic technology,Neutral,49.09,USD
PAYO,Payoneer Global Inc.,4.1481481481481515,78628153,6.703726335441491,2353493951.6800003,USD,35.72154471544715,0.1968,USD,-34.18060200668896,0,Commercial services,Buy,7.03,USD
BRUN,Boost Run Inc.,21.151358344113838,2510026,1.0826402207286447,2301118155.8078914,USD,295.42586750788644,0.1268,USD,,0,Technology services,Strong buy,37.46,USD
NTLA,"Intellia Therapeutics, Inc.",23.203963666391417,16409478,2.7870653566216217,2084656281.0900085,USD,,-3.5341,USD,32.41863311278541,0,Health technology,Buy,14.92,USD
