Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
QBTS,D-Wave Quantum Inc.,8.301886792452818,29006083,0.5425341081432429,9568598881.35094,USD,,-1.1325,USD,-87.40691709415856,0,Electronic technology,Strong buy,25.83,USD
AAL,"American Airlines Group, Inc.",0.740740740740738,109046523,1.3759704400882797,8994837793.185186,USD,44.40091413646751,0.3063,USD,-64.63865158162086,0,Transportation,Buy,13.6,USD
VSAT,"ViaSat, Inc.",-2.530515034236384,4305867,1.3529105473537402,8942535179.345638,USD,,-0.295,USD,93.37465750348112,0,Electronic technology,Strong buy,65.48,USD
SIMO,Silicon Motion Technology Corporation,1.743332044839579,790623,0.632697066879,8682285437,USD,52.35197008572508,5.0277,USD,80.39827771797633,0.769230769230769,Electronic technology,Strong buy,263.21,USD
CORZ,"Core Scientific, Inc.",5.029013539651826,7892249,0.5272798694872506,8630585599.868471,USD,,-1.1469,USD,77.29495377427594,0,Technology services,Strong buy,27.15,USD
CAVA,"CAVA Group, Inc.",1.4049586776859646,2007506,0.75782133453769,8574805517.427274,USD,141.35944700460828,0.5208,USD,-56.55655655655656,0,Consumer services,Buy,73.62,USD
BRKR,Bruker Corporation,-0.23053732931371265,2732762,0.7310794969050145,8564213947.092393,USD,,-0.2404,USD,-145.78175585602744,0.354672814328782,Health technology,Buy,56.26,USD
VSH,"Vishay Intertechnology, Inc.",0.03496503496502801,8573905,0.8886785247449649,7787990644.861188,USD,3576.25,0.016,USD,,0.699300699300699,Electronic technology,Buy,57.22,USD
ENPH,"Enphase Energy, Inc.",1.4446227929374036,5052180,0.583248373589275,7496682585.810594,USD,55.97874224977857,1.0161,USD,-5.470276304772534,0,Producer manufacturing,Neutral,56.88,USD
OSCR,"Oscar Health, Inc.",11.750305997552015,14956812,2.146878384234167,7283056068.315789,USD,,-0.6096,USD,-318.80832735104093,0,Health services,Neutral,27.39,USD
CLF,Cleveland-Cliffs Inc.,-6.282335550628232,26655362,1.1908189397012638,7232857908.668145,USD,,-2.3386,USD,3.8760327181552903,0,Non-energy minerals,Neutral,12.68,USD
MXL,"MaxLinear, Inc",-2.0390509144834477,3720149,0.6748708812370425,7098308047.204522,USD,,-1.5146,USD,42.61574600287945,0,Electronic technology,Buy,79.27,USD
PRAX,"Praxis Precision Medicines, Inc.",-0.2952755905511811,726395,1.2522551177057233,7060299195.447834,USD,,-13.3803,USD,-24.902451319007525,0,Health technology,Strong buy,253.25,USD
KMX,CarMax Inc,0.7423117709437994,3588457,1.143411742547557,6736484631.177094,USD,29.832935560859188,1.5922,USD,-50.304316614126535,0,Retail trade,Neutral,47.5,USD
ETSY,"Etsy, Inc.",2.9464552796889003,2882672,0.9165300034783139,6531707749.941669,USD,28.129469941558707,2.4469,USD,73.82254741777366,0,Retail trade,Buy,68.83,USD
LUNR,"Intuitive Machines, Inc.",1.2772479564032697,9071794,0.4317153419873952,6453118269.298875,USD,,-0.8716,USD,59.0605918271489,0,Electronic technology,Buy,29.735,USD
LEGN,Legend Biotech Corporation,-3.3721643163703185,3203461,0.8752216289773549,6058831800,USD,,-1.3602,USD,-13.7671462027434,0,Health technology,Strong buy,31.52,USD
VSXY,Victorias Secret & Co.,2.225201072386074,2829096,0.6682626002909076,6057001808.872923,USD,31.22850122850123,2.442,USD,22.596515889351885,0,Retail trade,Buy,76.26,USD
FLY,Firefly Aerospace Inc.,0.22160664819944123,4217561,0.3591647652428301,5942029799.582826,USD,,-2.3696,USD,-21.52418072721679,0,Electronic technology,Buy,36.18,USD
AXTI,AXT Inc,1.948562443845462,5770550,0.659412321701247,5938789884.052953,USD,,-0.3174,USD,25.59774964838255,0,Electronic technology,Buy,90.775,USD
M,Macy's Inc,0.4512635379061436,5357650,0.6367248423361309,5855225035.204874,USD,9.157855761714734,2.4307,USD,22.90539515598927,3.33348375451264,Retail trade,Neutral,22.26,USD
NVTS,Navitas Semiconductor Corporation,-2.392344497607647,28960585,0.6851496774105571,5721298268.267943,USD,,-0.6271,USD,-19.24320212968244,0,Electronic technology,Neutral,24.48,USD
LQDA,Liquidia Corporation,3.3144704931285323,3159499,1.8681239476832892,5682505487.718675,USD,451.2711864406779,0.1416,USD,,0,Health technology,Strong buy,63.9,USD
BB,BlackBerry Limited,-1.2752391073326355,31151944,0.5139554965313723,5444510954.308867,USD,106.66605430324043,0.08709425000000001,USD,,0,Technology services,Neutral,9.29,USD
ZETA,Zeta Global Holdings Corp.,-1.1807447774750137,5982081,0.5446403720125612,5423845758.430518,USD,,-0.1046,USD,64.05498281786942,0,Technology services,Strong buy,21.76,USD
S,"SentinelOne, Inc.",-1.2539184952978013,6667781,0.4954072648200029,5399158306.598745,USD,,-0.954,USD,27.91839818662637,0,Technology services,Buy,15.75,USD
SEI,"Solaris Energy Infrastructure, Inc.",4.06398616515347,1715243,0.7353146319227781,5310467118.608733,USD,87.1049457177322,0.829,USD,67.71191584058262,0.691742325983571,Industrial services,Strong buy,72.21,USD
MARA,"MARA Holdings, Inc.",11.850649350649343,32772295,0.8192514733757142,5253907467.62987,USD,,-5.7231,USD,-297.5203167326526,0,Technology services,Buy,13.78,USD
ONDS,Ondas Inc,-1.2464046021092907,39387225,0.3828251079700696,5228331137.574306,USD,51.448551448551456,0.2002,USD,,0,Electronic technology,Strong buy,10.3,USD
USAR,"USA Rare Earth, Inc.",-1.1570983533600268,16557817,0.896752530632415,4953615074.572764,USD,,-3.8839,USD,-581.3359771966788,0,Producer manufacturing,Strong buy,22.21,USD
BTDR,Bitdeer Technologies Group,5.838580423583284,15094500,1.0606274075748534,4498869190.052662,USD,,-2.4604,USD,-28.641639652828598,0,Technology services,Strong buy,18.49,USD
TNGX,"Tango Therapeutics, Inc.",52.967359050445104,21824835,8.613452898303775,4473961861.396143,USD,,-0.8198,USD,32.404353562005284,0,Health technology,Strong buy,30.93,USD
PLUG,"Plug Power, Inc.",-0.7776049766718479,45173451,0.5592546697403936,4450270283.639191,USD,,-1.2976,USD,42.86720676294469,0,Electronic technology,Neutral,3.19,USD
FLNC,"Fluence Energy, Inc.",5.063291139240507,10183179,0.6752241831862213,4436357861.886075,USD,,-0.3694,USD,-25.00846023688664,0,Producer manufacturing,Neutral,24.07,USD
CLSK,"CleanSpark, Inc.",5.9653624118024355,20965858,0.82105883636017,4239174312.541372,USD,,-2.1014,USD,-126.29765237992679,0,Technology services,Strong buy,16.52,USD
RDW,Redwire Corporation,0.6504065040650461,33471114,0.4777348240858511,3693920999.7869925,USD,,-2.6879,USD,-18.97574362606233,0,Electronic technology,Buy,18.57,USD
DAVE,Dave Inc.,4.662149080348507,567666,0.6903456726585336,3436533715.1362634,USD,17.37852903922691,15.5531,USD,327.92956390149953,0,Finance,Strong buy,270.29,USD
KEEL,Keel Infrastructure Corp.,10.331384015594548,71901889,1.3711757145263517,3417670027.1539965,USD,,-0.6507,USD,-186.14775725593665,0,Technology services,Strong buy,5.66,USD
INOD,Innodata Inc.,0.8041580857114909,1005155,0.49685298350786494,3356644223.3568697,USD,92.69546397330689,1.1089,USD,6.635253389749009,0,Technology services,Strong buy,102.79,USD
PENG,"Penguin Solutions, Inc.",7.9685933845639765,3815096,1.1113844915455047,3279811540.420982,USD,92328.57142857142,0.0007,USD,,0,Electronic technology,Strong buy,64.63,USD
INFQ,"Infleqtion, Inc.",1.717032967032967,14229889,0.45274433917294626,3231495947.6133237,USD,,-1.5417,USD,,0,Electronic technology,Strong buy,14.81,USD
AEHR,Aehr Test Systems,-2.9151853732859365,1809991,0.8283364792732936,3006301990.815846,USD,,-0.3783,USD,-148.74371859296483,0,Electronic technology,Buy,95.58,USD
WOLF,"Wolfspeed, Inc.",0.6538321830730102,5761835,0.5918830560086973,2678951925.5270615,USD,,-17.2532,USD,-106.57319715999569,0,Electronic technology,Neutral,55.42,USD
AMPX,"Amprius Technologies, Inc.",-4.367699339766394,4966796,0.48317433144900573,2666839622.2889786,USD,,-0.3046,USD,25.87004137259674,0,Producer manufacturing,Strong buy,18.83,USD
OUST,"Ouster, Inc.",3.0241935483871036,3387948,0.6388543287947832,2602950246.481855,USD,,-0.9742,USD,50.41734527687297,0,Electronic technology,Strong buy,40.88,USD
TE,T1 Energy Inc.,-3.1813361611876876,36853917,0.7591584107540085,2549747620.589608,USD,,-2.0321,USD,34.17233560090704,0,Producer manufacturing,Strong buy,9.13,USD
POET,POET Technologies Inc.,3.541315345699831,27374078,0.7102967885483337,2119471612.435076,USD,,-0.7242,USD,-11.175928768805646,0,Producer manufacturing,No rating,12.28,USD
