Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
PANW,"Palo Alto Networks, Inc.",272.05,USD,-2.5783348254252423,7795388,0.7207579144410378,221992794201.60876,USD,223.7805379616682,1.2157,USD,-30.432045779685268,0,Technology services,Buy
ADI,"Analog Devices, Inc.",401.39,USD,-6.383524582517026,7242611,1.418126252087898,195511871431.9157,USD,59.64899245081139,6.7292,USD,83.19222497481829,0.929924372243928,Electronic technology,Buy
ANET,"Arista Networks, Inc.",154.27,USD,-7.071863140774641,9094612,0.9003138135849381,194257185326.72092,USD,52.82495548554993,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy
STX,Seagate Technology Holdings PLC,847.47,USD,-8.479573213533621,3611240,1.123860630128032,190027341502.05557,USD,80.44328429046037,10.535,USD,52.226685547495876,0.310410443397931,Electronic technology,Buy
APP,Applovin Corporation,557.2,USD,-0.29881725624920985,5547042,1.1183694695793407,187185770611.1277,USD,49.15227324853126,11.3362,USD,104.69844709281328,0,Technology services,Strong buy
WDC,Western Digital Corporation,511.72,USD,-11.082536924413548,9009193,1.4218599505685017,176380734654.66763,USD,30.546618035947738,16.7521,USD,218.5112653294039,0.0757435491743953,Electronic technology,Buy
CRWD,"CrowdStrike Holdings, Inc.",671.02,USD,-6.684837781084433,5238763,1.32763499825466,170799088467.09955,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy
APH,Amphenol Corporation,138.81,USD,-5.423451659058396,7168148,0.6241647517113357,170768844890.28116,USD,39.88793103448276,3.48,USD,68.63733281643728,0.562254437068148,Electronic technology,Strong buy
SCCO,Southern Copper Corporation,172.97,USD,-10.88154979648617,1920813,1.6094924217451612,144313310802.65292,USD,29.297582953640813,5.9039,USD,36.79417966125258,1.83588936365024,Non-energy minerals,Sell
IBKR,"Interactive Brokers Group, Inc.",84.4,USD,-3.0553641167011216,4274766,0.6417142981096464,143160302506,USD,36.28546861564919,2.326,USD,28.423144876325097,0.367183017785427,Finance,Buy
VRT,"Vertiv Holdings, LLC",300.51,USD,-7.227093109409738,7330000,1.3161116975558802,115428544056.12546,USD,75.4386845738672,3.9835,USD,130.95431354359923,0.0603427468018344,Electronic technology,Buy
