Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,0.1561966124859634,112344838,0.5960231595670192,4965597881651.432,USD,31.42362706361604,6.5298,USD,110.33338701884364,0.0195245765607458,Electronic technology,Strong buy,205.19,USD
GOOGL,Alphabet Inc.,0.5338625373843601,24730850,0.6409604752621034,4351286910570.1543,USD,27.437428961561054,13.1091,USD,46.187815730487436,0.234787712776365,Technology services,Strong buy,359.68,USD
GOOG,Alphabet Inc.,0.4487323311644668,17657557,0.6022154116158293,4347602321689.6567,USD,27.321478972622074,13.1091,USD,46.187815730487436,0.235584473861342,Technology services,Strong buy,358.16,USD
AAPL,Apple Inc.,-1.5221729865033995,38784560,0.6830070203052775,4275930152547.4634,USD,35.21804875098288,8.2665,USD,29.004822172630675,0.355173696850793,Electronic technology,Buy,291.13,USD
AMZN,"Amazon.com, Inc.",-1.2256221274481303,51249604,1.136320355577317,2566108383040.2236,USD,28.508431229609094,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,238.55,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.6792219820932419,10362462,0.7417930135991972,1844258228542.9604,USD,35.23325105343207,12.0321,USD,54.805465493283926,0.626015389365189,Electronic technology,Strong buy,423.93,USD
AVGO,Broadcom Inc.,-0.9077469720154576,27628300,0.6272963698109802,1817728654978.255,USD,63.60412851673048,6.007,USD,125.81008946695735,0.643203568742381,Electronic technology,Strong buy,382.07,USD
MU,"Micron Technology, Inc.",-1.4319138040105628,40992441,0.7194740802150175,1106994974939.52,USD,46.34323672295846,21.1813,USD,409.11691183540046,0.0497052828180385,Electronic technology,Strong buy,981.61,USD
AMD,"Advanced Micro Devices, Inc.",4.73334015764152,31618262,1.0037001844462368,834166362595.0382,USD,167.89851980701698,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,511.57,USD
ASML,ASML Holding N.V. - New York Registry Shares,-1.891570324509869,2531272,1.1941058926496695,696884516758.3839,USD,62.136560057616904,29.9912,USD,26.402744587321447,0.393150651757323,Electronic technology,Buy,1863.55,USD
INTC,Intel Corporation,6.506497948016415,151525435,1.1043894842583697,626088815099.636,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,124.57,USD
LRCX,Lam Research Corporation,1.183382985766308,9256619,0.8207798371359304,458721951086.129,USD,69.23425378909421,5.2981,USD,47.59583240472476,0.278605318327265,Producer manufacturing,Buy,366.81,USD
AMAT,"Applied Materials, Inc.",2.64367400115808,8064199,0.8188117977471047,450373488180.2624,USD,53.2979423094992,10.643,USD,29.538345443701996,0.345613781123335,Producer manufacturing,Strong buy,567.25,USD
BAC,Bank of America Corporation,1.55910079767949,32989014,0.8154052294951224,397550989300.6643,USD,13.900054587861646,4.0302,USD,20.322436184505147,1.99419869470631,Finance,Strong buy,56.02,USD
UNH,UnitedHealth Group Incorporated,0.732338799161625,7269619,0.9303796629181963,370995117936.80206,USD,30.85312065736209,13.2408,USD,-44.64988148934658,2.17975588706695,Health services,Buy,408.52,USD
ARM,Arm Holdings plc,11.273120416094434,16531603,1.3362005864680915,364132731689,USD,449.9172967863894,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,380.81,USD
GE,GE Aerospace,0.7633128981848841,4377475,0.9247582010201488,349831000342.6701,USD,41.323638156273105,8.114,USD,26.528193612774466,0.465801178026205,Electronic technology,Buy,335.3,USD
MS,Morgan Stanley,0.6489231637355382,4694348,0.7497272059299249,337602068401.1916,USD,19.38574960828178,11.0411,USD,29.550841292563295,1.88093670647983,Finance,Buy,214.04,USD
GS,"Goldman Sachs Group, Inc. (The)",2.6177049940133537,2206027,0.8891903786909061,313519135545.68695,USD,19.42110399222242,54.7214,USD,26.993564617230493,1.49665907071955,Finance,Neutral,1062.75,USD
HSBC,"HSBC Holdings, plc.",2.1494708994709026,1677190,0.7785529931669638,304652637178.7673,USD,15.314570904463652,6.0511,USD,11.526623292847004,4.1115520282187,Finance,Neutral,92.67,USD
SNDK,Sandisk Corporation,5.239940260748012,11963827,1.0901284272592542,293232550061.2493,USD,68.83210334027413,28.7671,USD,,0,Electronic technology,Buy,1980.1,USD
TXN,Texas Instruments Incorporated,1.3530797711208287,5368529,0.5475966867585675,274047159946.746,USD,51.514892306639524,5.8453,USD,10.750487883438492,1.89161898350724,Electronic technology,Buy,301.12,USD
DELL,Dell Technologies Inc.,1.052497126069742,6059055,0.39755731037775976,256372080737.4327,USD,31.434111299179122,12.5841,USD,100.63934948979589,0.563290330821306,Electronic technology,Buy,395.57,USD
MRVL,"Marvell Technology, Inc.",-0.359801930818279,42160743,0.5498668589859064,244681549137.22565,USD,95.57818480043738,2.9264,USD,,0.085497488511275,Electronic technology,Strong buy,279.7,USD
C,"Citigroup, Inc.",1.2747157239081766,10359654,0.8005309335561088,239795524348.54205,USD,17.327137546468403,8.07,USD,27.480096044483766,1.73824871442022,Finance,Strong buy,139.83,USD
PANW,"Palo Alto Networks, Inc.",0.03219690194255781,6774212,0.6012123039190878,227890299004.6797,USD,230.00740314222259,1.2157,USD,-30.432045779685268,0,Technology services,Buy,279.62,USD
QCOM,QUALCOMM Incorporated,4.3161214032321595,14134791,0.6706516250971332,223152887381.40875,USD,23.02956468771075,9.1934,USD,-6.380855397148674,1.7540402049665,Electronic technology,Neutral,211.72,USD
