Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
TKR,Timken Company (The),1.796985223138053,1579193,1.4234310663584835,9527001812.250093,USD,31.19439324641045,4.3947,USD,-5.161958609378696,1.04700378703497,Producer manufacturing,Buy,137.09,USD
BROS,Dutch Bros Inc.,2.7377777777777763,3415822,1.142741390771347,9522845713.150223,USD,91.16579902192774,0.6339,USD,64.56386292834893,0,Consumer services,Strong buy,57.79,USD
CIFR,Cipher Digital Inc.,-5.166735282009053,23979228,0.9264443485121691,9422448546.754839,USD,,-2.2256,USD,-502.3274695534506,0,Technology services,Strong buy,23.035,USD
FORM,"FormFactor, Inc.",-2.921529175050298,1357838,0.8163324935367972,9402904713.192595,USD,138.69150281706337,0.8697,USD,25.697355109119822,0,Electronic technology,Buy,120.62,USD
AAL,"American Airlines Group, Inc.",3.60294117647059,149977715,1.8694158413902413,9318916768.68015,USD,46.00065295461965,0.3063,USD,-64.63865158162086,0,Transportation,Buy,14.09,USD
SIRI,SiriusXM Holdings Inc.,0.6195335276967863,12145965,2.666079319754032,9294076560.907797,USD,11.476431956106076,2.4058,USD,,3.93586005830904,Consumer services,Neutral,27.61,USD
CRL,"Charles River Laboratories International, Inc.",1.8290066509332743,777575,0.8692437023638913,9144644085.081528,USD,,-3.7603,USD,-478.50769230769237,0,Commercial services,Buy,189.85,USD
CAVA,"CAVA Group, Inc.",3.6131486009236573,3479057,1.3202587983617977,8884626501.671284,USD,146.4669738863287,0.5208,USD,-56.55655655655656,0,Consumer services,Buy,76.28,USD
SIMO,Silicon Motion Technology Corporation,-1.3145397211352077,857571,0.6869333269251565,8833645797,USD,51.6637826441514,5.0277,USD,80.39827771797633,0.756050302040196,Electronic technology,Strong buy,259.75,USD
VSAT,"ViaSat, Inc.",-2.3518631643249943,2746704,0.8118625216997852,8732219396.337507,USD,,-0.295,USD,93.37465750348112,0,Electronic technology,Strong buy,63.94,USD
BRKR,Bruker Corporation,1.7419125488802063,2248686,0.582468714485072,8713394899.633844,USD,,-0.2404,USD,-145.78175585602744,0.355492356914326,Health technology,Buy,57.24,USD
QRVO,"Qorvo, Inc.",-1.952147362098311,1526933,1.1075087893781257,8620058970.889978,USD,27.03732332155477,3.6224,USD,515.9496684237375,0,Electronic technology,Neutral,97.94,USD
CORZ,"Core Scientific, Inc.",-0.5156537753222726,12307693,0.8430733002225412,8586081411.805158,USD,,-1.1469,USD,77.29495377427594,0,Technology services,Strong buy,27.01,USD
VSH,"Vishay Intertechnology, Inc.",2.376791331702201,18837201,1.9632375216179723,7973094996.061518,USD,3661.25,0.016,USD,,0.699056274030059,Electronic technology,Buy,58.58,USD
CLF,Cleveland-Cliffs Inc.,0.3154574132492186,19380487,0.8272725368550365,7255674813.463724,USD,,-2.3386,USD,3.8760327181552903,0,Non-energy minerals,Neutral,12.72,USD
OSCR,"Oscar Health, Inc.",-0.620664476086169,9131777,1.151468468973188,7237852497.640015,USD,,-0.6096,USD,-318.80832735104093,0,Health services,Neutral,27.22,USD
ST,Sensata Technologies Holding plc,-1.0364759816623543,2391751,0.8265608991707059,7220701148.404425,USD,153.4301606922126,0.3236,USD,-60.381978452497556,0.956747059996014,Electronic technology,Buy,49.65,USD
AVT,"Avnet, Inc.",-0.13785180930498603,2295168,1.4101824679409727,7130353382.251121,USD,33.859157123938616,2.5674,USD,-28.015476924802336,1.58529580700747,Distribution services,Neutral,86.93,USD
ENPH,"Enphase Energy, Inc.",-5.92475386779185,13064411,1.619331347260632,7052522765.746835,USD,52.66213955319358,1.0161,USD,-5.470276304772534,0,Producer manufacturing,Neutral,53.51,USD
PRAX,"Praxis Precision Medicines, Inc.",-1.1530108588351382,465503,0.7415847795603665,6978893178.615399,USD,,-13.3803,USD,-24.902451319007525,0,Health technology,Strong buy,250.33,USD
FLR,Fluor Corporation,-0.08077544426495609,3023732,1.1908174012273358,6910866288.294022,USD,39.504990019960076,1.2525,USD,-88.00379281281128,0,Industrial services,Buy,49.48,USD
KMX,CarMax Inc,1.0736842105263116,2218965,0.6705862279301424,6808812982.486947,USD,30.15324707951262,1.5922,USD,-50.304316614126535,0,Retail trade,Neutral,48.01,USD
ETSY,"Etsy, Inc.",-0.1016998401859555,1963118,0.6169139401159954,6525065127.540898,USD,28.100862315582987,2.4469,USD,73.82254741777366,0,Retail trade,Buy,68.76,USD
MXL,"MaxLinear, Inc",-8.40166519490349,5849470,1.0709562160204924,6501931842.150499,USD,,-1.5146,USD,42.61574600287945,0,Electronic technology,Buy,72.61,USD
CAR,"Avis Budget Group, Inc.",1.2506979341150246,569476,0.600742230108212,6405833089.220882,USD,,-19.0129,USD,69.79240810412325,0,Finance,Neutral,181.34,USD
CROX,"Crocs, Inc.",5.90136759220886,1808193,1.341465097438728,6348846363.931703,USD,,-1.3786,USD,-108.44932306127075,0,Consumer non-durables,Buy,127.77,USD
LUNR,"Intuitive Machines, Inc.",-7.61728602656802,13239255,0.6477341076429005,5961565791.893728,USD,,-0.8716,USD,59.0605918271489,0,Electronic technology,Buy,27.47,USD
VSXY,Victorias Secret & Co.,-1.7046944662995163,2265337,0.5249629927180274,5953748722.343561,USD,30.696150696150692,2.442,USD,22.596515889351885,0,Retail trade,Buy,74.96,USD
LEGN,Legend Biotech Corporation,6.250000000000008,2579648,0.6832519305030554,5854518313,USD,,-1.3602,USD,-13.7671462027434,0,Health technology,Strong buy,33.49,USD
M,Macy's Inc,-0.3593890386343299,5894127,0.6904546074710148,5834182098.673853,USD,9.124943431933188,2.4307,USD,22.90539515598927,3.31850853548967,Retail trade,Neutral,22.18,USD
LQDA,Liquidia Corporation,0.1721439749608866,1624192,0.8504505991381199,5692287854.29781,USD,452.0480225988701,0.1416,USD,,0,Health technology,Strong buy,64.01,USD
ACMR,"ACM Research, Inc.",0.9432791361549028,1658779,0.8123133731940635,5620674915.27442,USD,61.83380217440888,1.3153,USD,-15.901534526854228,0,Producer manufacturing,Strong buy,81.33,USD
FLY,Firefly Aerospace Inc.,-7.559425096738528,6329801,0.5610335005141639,5492846786.289248,USD,,-2.3696,USD,-21.52418072721679,0,Electronic technology,Buy,33.445,USD
NVTS,Navitas Semiconductor Corporation,-6.65849673202614,42831209,1.0694859731809803,5340345726.721814,USD,,-0.6271,USD,-19.24320212968244,0,Electronic technology,Neutral,22.85,USD
ZETA,Zeta Global Holdings Corp.,-3.1250000000000147,7896319,0.7165367143353041,5254350524.781249,USD,,-0.1046,USD,64.05498281786942,0,Technology services,Strong buy,21.08,USD
BB,BlackBerry Limited,-4.843918191603868,52007121,0.8974159636363829,5180783450.109822,USD,101.49923789457971,0.08709425000000001,USD,,0,Technology services,Neutral,8.84,USD
AXTI,AXT Inc,-13.676673092811903,10676877,1.2852281086489494,5126561039.562434,USD,,-0.3174,USD,25.59774964838255,0,Electronic technology,Buy,78.36,USD
MARA,"MARA Holdings, Inc.",-3.410740203193025,48296753,1.23006574690089,5074710360.795355,USD,,-5.7231,USD,-297.5203167326526,0,Technology services,Buy,13.31,USD
SEI,"Solaris Energy Infrastructure, Inc.",-4.985459077690063,2590071,1.1151511868909003,5045715933.995015,USD,82.76236429433052,0.829,USD,67.71191584058262,0.664727877025343,Industrial services,Strong buy,68.61,USD
ONDS,Ondas Inc,-6.310679611650488,69167531,0.6855673580002415,4898387857.441748,USD,48.201798201798205,0.2002,USD,,0,Electronic technology,Strong buy,9.65,USD
USAR,"USA Rare Earth, Inc.",-5.8982440342188305,22289449,1.2183353763593596,4661438719.486717,USD,,-3.8839,USD,-581.3359771966788,0,Producer manufacturing,Strong buy,20.9,USD
TNGX,"Tango Therapeutics, Inc.",2.036857419980598,7149169,1.5708177740212437,4565090285.12512,USD,,-0.8198,USD,32.404353562005284,0,Health technology,Strong buy,31.56,USD
FLNC,"Fluence Energy, Inc.",-2.5342750311591167,19688179,1.3122531241278192,4323928326.094724,USD,,-0.3694,USD,-25.00846023688664,0,Producer manufacturing,Neutral,23.46,USD
BTDR,Bitdeer Technologies Group,-5.840995132504047,10408014,0.6963448421335913,4236090573.526772,USD,,-2.4604,USD,-28.641639652828598,0,Technology services,Strong buy,17.41,USD
