Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
BCS,Barclays PLC,4.695431472081216,6494531,1.2999734782256231,80593816978.2735,USD,10.14510575504181,2.4396,USD,21.621217408644497,1.89075296108291,Finance,Buy,24.75,USD
EMR,Emerson Electric Company,3.632120195463489,2057586,0.8337517450819111,79584605884.81847,USD,32.78193060169805,4.3344,USD,3.4463007159904335,1.59908102983006,Electronic technology,Buy,142.09,USD
ABNB,"Airbnb, Inc.",1.3710302091402093,3955233,1.0457333183369997,78875993507.88669,USD,32.23478410798296,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,130.87,USD
MPWR,"Monolithic Power Systems, Inc.",7.9094932927822725,897138,1.1160969041099265,78094595269.2786,USD,114.52089337175792,13.88,USD,-63.151159888922514,0.453483951555966,Electronic technology,Buy,1589.55,USD
APO,"Apollo Global Management, Inc. (New)",2.112246454171123,2341920,0.6548226032799848,77201460353.90033,USD,88.05813112382455,1.5207,USD,-73.13820391436445,1.5956229983224,Finance,Buy,133.91,USD
NXPI,NXP Semiconductors N.V.,5.949712844936269,5124040,1.183401806050134,76385125990.56242,USD,28.950213861272452,10.4507,USD,13.848248815294934,1.42036699817902,Electronic technology,Buy,302.55,USD
LYG,Lloyds Banking Group Plc,5.038759689922476,64188586,2.615732493809371,75671599660.074,USD,12.926305747674695,0.4193,USD,,3.7893992248062,Finance,Buy,5.42,USD
NOK,Nokia Corporation Sponsored,5.14925373134328,94778046,0.6823093914876989,75583399810.57161,USD,87.89769182782283,0.1603,USD,8.67796610169492,0.896626865671642,Electronic technology,Buy,14.09,USD
ASX,"ASE Technology Holding Co., Ltd.",7.288629737609329,15847704,1.340288620747223,74670111163.64168,USD,54.63182897862232,0.6736,USD,43.41068767298275,0.761708454810496,Electronic technology,Strong buy,36.8,USD
GM,General Motors Company,1.826196473551623,6020752,0.6370323165172693,72899629678.77202,USD,32.611326234269114,2.4792,USD,-64.28849228641805,0.793450881612091,Consumer durables,Buy,80.85,USD
COHR,Coherent Corp.,2.4832990388138803,6489071,0.9652688925740961,71130544672.32481,USD,173.579681084694,2.0946,USD,,0,Electronic technology,Buy,363.58,USD
BE,Bloom Energy Corporation,6.254536139691759,8874155,0.7744294629780661,70792391108.21297,USD,,-0.0564,USD,32.85714285714286,0,Electronic technology,Buy,248.88,USD
LITE,Lumentum Holdings Inc.,4.257787778637232,4672235,0.6943894239347057,69210105507.23198,USD,165.1027263785008,5.3881,USD,,0,Producer manufacturing,Buy,889.59,USD
WBD,"Warner Bros. Discovery, Inc. - Series A",2.4018299656881394,19293674,0.7883918192117628,67341691090.24398,USD,,-0.6988,USD,84.13440799182655,0,Consumer services,Neutral,26.86,USD
RKLB,Rocket Lab Corporation,9.262256068538795,26117141,1.1346605744885332,66442412739.344696,USD,,-0.3303,USD,19.985465116279073,0,Electronic technology,Buy,114.78,USD
FIX,"Comfort Systems USA, Inc.",7.207993114197318,500966,1.0068393349183922,64892857077.69159,USD,53.20714308392576,34.6461,USD,107.81259372113385,0.151208504896829,Industrial services,Strong buy,1843.42,USD
STM,STMicroelectronics N.V.,10.432569974554722,18011038,1.1740332398347861,63125372229.2919,USD,507.9323797139142,0.1538,USD,-86.87713310580205,0.432569974554707,Electronic technology,Buy,78.12,USD
CIEN,Ciena Corporation,2.431841711722087,3000316,0.6955251380356081,63022189035.76022,USD,148.1942549013081,3.0043,USD,318.48446858894005,0,Electronic technology,Buy,445.22,USD
