Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
ADI,"Analog Devices, Inc.",-6.383524582517026,7242611,1.418126252087898,195511872568,USD,59.64899245081139,6.7292,USD,83.19222497481829,1.01397643189915,Electronic technology,Buy,401.39,USD
ANET,"Arista Networks, Inc.",-7.071863140774641,9094612,0.9003138135849381,194257196146,USD,52.82495548554993,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,154.27,USD
STX,Seagate Technology Holdings PLC,-8.479573213533621,3611240,1.123860630128032,190027334440,USD,80.44328429046037,10.535,USD,52.226685547495876,0.344554969497445,Electronic technology,Buy,847.47,USD
APP,Applovin Corporation,-0.29881725624920985,5547042,1.1183694695793407,187185769108.00003,USD,49.15227324853126,11.3362,USD,104.69844709281328,0,Technology services,Strong buy,557.2,USD
WDC,Western Digital Corporation,-11.082536924413548,9009193,1.4218599505685017,176380739425,USD,30.546618035947738,16.7521,USD,218.5112653294039,0.087938716485578,Electronic technology,Buy,511.72,USD
RIO,Rio Tinto Plc,-4.468690702087294,3559549,1.4260817078482573,175662756789.3625,USD,16.51847234070477,6.0956,USD,-13.847980326200638,3.96762339855001,Non-energy minerals,Buy,100.69,USD
CRWD,"CrowdStrike Holdings, Inc.",-6.684837781084433,5238763,1.32763499825466,170818090043,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy,671.02,USD
APH,Amphenol Corporation,-5.423451659058396,7168148,0.6241647517113357,170768847535,USD,39.88793103448276,3.48,USD,68.63733281643728,0.597939629709675,Electronic technology,Strong buy,138.81,USD
SCCO,Southern Copper Corporation,-10.88154979648617,1920813,1.6094924217451612,144313314510,USD,29.297582953640813,5.9039,USD,36.79417966125258,2.08659010232988,Non-energy minerals,Sell,172.97,USD
IBKR,"Interactive Brokers Group, Inc.",-3.0553641167011216,4274766,0.6417142981096464,143160302506,USD,36.28546861564919,2.326,USD,28.423144876325097,0.37914691943128,Finance,Buy,84.4,USD
VRT,"Vertiv Holdings, LLC",-7.227093109409738,7330000,1.3161116975558802,115428546957.00002,USD,75.4386845738672,3.9835,USD,130.95431354359923,0.0665535256730225,Electronic technology,Buy,300.51,USD
SBUX,Starbucks Corporation,1.2215848735925279,7623260,0.9105660206889119,108602009390.99998,USD,72.72935429705389,1.3102,USD,-52.37541347097525,2.59208731241473,Consumer services,Buy,95.29,USD
CDNS,"Cadence Design Systems, Inc.",-8.62077341624563,3520057,1.30542714015473,103759225295.00002,USD,87.82304190498424,4.2835,USD,8.486982068686055,0,Technology services,Strong buy,376.19,USD
HWM,Howmet Aerospace Inc.,1.0307624433481704,2189640,0.8536536966124337,100787072503,USD,58.437340509441846,4.3106,USD,40.55234927777234,0.19055180627233,Electronic technology,Buy,251.9,USD
UPS,"United Parcel Service, Inc.",-1.52422427871529,4048071,0.6696394630406194,92259679165,USD,17.57192119024106,6.1769,USD,-9.902564252166055,6.0438548000737,Transportation,Buy,108.54,USD
FCX,"Freeport-McMoRan, Inc.",-9.068732960252547,18100953,1.589196369026736,91098163906.00002,USD,33.71282651486939,1.8797,USD,55.154766817994215,0.946820261953606,Non-energy minerals,Buy,63.37,USD
CMI,Cummins Inc.,-3.9640171066214416,981864,0.9468155398001113,89861231251.00002,USD,33.80204197096394,19.2657,USD,-4.155514651012388,1.22846349927828,Producer manufacturing,Buy,651.22,USD
NOK,Nokia Corporation Sponsored,-13.477737665463296,185181232,1.398746943327152,84081246055.4913,USD,89.70679975046788,0.1603,USD,8.67796610169492,0.835521557719054,Electronic technology,Buy,14.38,USD
DDOG,"Datadog, Inc.",-3.895730706075526,6792767,0.988997581408118,83333841858.00002,USD,624.7931678676275,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy,234.11,USD
SNOW,Snowflake Inc.,-2.4244409861577587,7162806,0.46267127689989107,82580915550.00002,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,238.26,USD
ABNB,"Airbnb, Inc.",-0.1346096320670108,4044942,1.092594305813833,80485207805,USD,32.89243577428015,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,133.54,USD
ASX,"ASE Technology Holding Co., Ltd.",-11.380208333333327,21565988,2.237670845449604,80023036748.6949,USD,50.51959619952494,0.6736,USD,43.41068767298275,0.767751983543932,Electronic technology,Strong buy,34.03,USD
FDX,FedEx Corporation,0.9146341463414633,2584576,1.194484584926296,78978834411.99998,USD,17.61912873142273,18.7864,USD,17.954642489388956,1.75226586102719,Transportation,Buy,331,USD
EMR,Emerson Electric Company,-2.7734759960580018,2232670,0.8371102910908589,77361005893,USD,31.86600221483943,4.3344,USD,3.4463007159904335,1.58738777874312,Electronic technology,Buy,138.12,USD
BE,Bloom Energy Corporation,-9.527405017675118,11652490,1.1474205628812413,74982246559.00002,USD,,-0.0564,USD,32.85714285714286,0,Electronic technology,Buy,263.61,USD
NXPI,NXP Semiconductors N.V.,-8.149711377319857,8438112,2.4314207543989315,74721340039,USD,28.319634091496262,10.4507,USD,13.848248815294934,1.37045546695499,Electronic technology,Buy,295.96,USD
GM,General Motors Company,-1.3338139870223498,7371585,0.8566151734726531,74035726931,USD,33.119554695062924,2.4792,USD,-64.28849228641805,0.767263427109974,Consumer durables,Buy,82.11,USD
COHR,Coherent Corp.,-10.644702536146,6418683,1.1096604385461863,73754068352.99998,USD,179.98185811133393,2.0946,USD,,0,Electronic technology,Buy,376.99,USD
MPWR,"Monolithic Power Systems, Inc.",-10.380612368389203,1369016,2.0485158907760255,72763990481,USD,106.70389048991353,13.88,USD,-63.151159888922514,0.45103136288444,Electronic technology,Buy,1481.05,USD
CIEN,Ciena Corporation,-8.853126225192767,4195421,1.5032279072573864,69107548634,USD,162.50374463269313,3.0043,USD,318.48446858894005,0,Electronic technology,Buy,488.21,USD
LITE,Lumentum Holdings Inc.,-8.615143691539348,7540513,1.2748221114382126,67192748546.00001,USD,160.29026929715485,5.3881,USD,,0,Producer manufacturing,Buy,863.66,USD
WBD,"Warner Bros. Discovery, Inc. - Series A",-2.8148148148148207,49422921,2.469259831799685,65787266925.99999,USD,,-0.6988,USD,84.13440799182655,0,Consumer services,Neutral,26.24,USD
FIX,"Comfort Systems USA, Inc.",-3.693103178126552,365943,0.8452397505646203,64911161015.00001,USD,53.22215198824688,34.6461,USD,107.81259372113385,0.141002418733798,Industrial services,Strong buy,1843.94,USD
